title,url,date,authors,content,sentiment
A Look At What's In Store For Apple (AAPL) In 2020 - Nasdaq,https://www.nasdaq.com/articles/a-look-at-whats-in-store-for-apple-aapl-in-2020-2020-01-08,"Wed, 08 Jan 2020 08:00:00 GMT",[],"Apple (AAPL) is the world’s first trillion-dollar company and the most valuable brand. While Apple is primarily known for its iPhone, a closer look reveals that it's built on more than just hardware. Apple is loved by its customers owing to the value it adds to their day-to-day lives. Apple’s strength lies in its ecosystem built on innovative products and services, superior customer experience and strong customer loyalty.Here’s a look at Apple as we move into 2020.ServicesTo limit its dependence on hardware, Apple has worked on its services segment in recent years. Results have followed. During fiscal 2019, Apple earned $46.29 billion from services, which constituted 17.79% of its net sales compared to 14.96% in 2018. Apple is well on its way to accomplishing its goal of doubling its fiscal year 2016 services revenue during 2020. The company registered new all-time highs for its services, including the App Store, AppleCare, Music, cloud services and App Store search ad business during fiscal 2019. There is a rise in the profitability of this segment as well; the profit margin stood at 63.7% in fiscal 2019 versus 55% and 60.8% in fiscal 2017 and 2018, respectively.Apple’s services segment has witnessed an increase in customer engagement, which has led to more subscriptions to its digital content stores. Apple now has 450 million paid subscriptions across services compared to around 330 million a year back. It is steadily moving towards its goal of surpassing the 500 million mark in 2020. In addition, Apple has more than 35,000 subscription apps on its platform, with the largest accounting for less than 0.25% of total services revenue, signifying low concentration on any one particular app. According to App Annie’s latest report, iOS grew its lead in consumer spend over Google Play to 95% in Q3 2019.Within services, Apple Pay adds a new dimension to its offerings. During the last fiscal, the revenue and transactions more than doubled for Apple Pay; it is live in 49 markets around the world with over 6,000 issuers on the platform. eMarketer estimates that U.S. proximity mobile payment transactions which totaled to $98.88 billion in 2019 will reach $161.41 billion by 2021. It highlights that Apple Pay captures the largest share of the U.S. proximity mobile payment market and is thus driving much of the growth in this space.WearablesThe revenue from wearables, home and accessories segment was $24.48 billion during fiscal 2019, constituting 9.4% of net sales over 6.5% in fiscal 2018. The company's wearables and accessories business, which includes Apple Watch, AirPods, and the HomePod smart speaker, is getting close to overtaking the revenue earned from Mac. This means that wearables could soon be Apple’s third largest business category overall after its smartphone and services segments. During the year 2019, Apple unveiled the Apple Watch Series 5 and AirPods Pro. The devices comes with great utility features; Apple Watch (Series 4 and later) automatically place an emergency call if the Apple Watch senses that “the user has taken a hard fall and remains motionless for about a minute” while the AirPods Pro come with features such as active noise cancellation.Apple Watch currently maintains the first position with 48% global smartwatch market share, followed by Samsung at second and Fitbit (now acquired by Google) at third spot, according to Strategy Analytics. During the in October, Tim Cook, CEO of Apple, said that “three out of four customers buying an Apple Watch currently or last quarter I should say were buying an Apple Watch for the first time.” The smartwatch market is growing at a fast pace and is expected to reach a market value of $130.55 billion by 2024 from $48.14 billion in 2018, registering a CAGR of 18.23% during the forecast period (2019-2024).HealthcareApple has been investing in advanced technologies to penetrate deeper into the fitness and health space via its products and services. Apple’s focus on wellness and health was made evident by Cook in an interview where he said, “If you zoom out into the future, and you look back, and you ask the question: ‘What was Apple's greatest contribution to mankind?’, it will be about health.” Apple enables customers to take an electrocardiogram (ECG) right from their wrist and is working on earlier detection of AFib, improved diagnosis and patient outcomes. Apple is integrating aggregated health records for veterans receiving care through the Veterans Health Administration directly in the Health app. “We're deepening Apple's commitment to medical research. We are collaborating with leading health institutions to reach more participants than has ever been possible enabling them to contribute to potential medical discoveries and help create the next generation of innovative health products,” as per Cook.Last year, Morgan Stanley projected that healthcare could bring in over $15 billion for Apple by 2021 and up to $313 billion by 2027. ""At the mid-point, Apple’s health efforts could result in ~$90B of annual revenue by 2027, roughly ~35% of its current revenue base.”Final WordApple has repeatedly said, “Our objective is to make great products and services that enrich people's lives and to provide an unparalleled customer experience so that our users are highly satisfied, loyal, and engaged. As we accomplish these objectives, strong financial results follow.” Apple continues to move ahead with this objective which has proved right over the years and should continue to do so.Disclaimer: The author has no position in any stocks mentioned. Investors should consider the above information not as a de facto recommendation, but as an idea for further consideration.The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",1
Apple announces 4-for-1 stock split - CNBC,https://www.cnbc.com/2020/07/30/apple-stock-split-announced.html,"Thu, 30 Jul 2020 07:00:00 GMT",['Todd Haselton'],"Apple on Thursday announced in its fiscal third-quarter earnings that the Board of Directors has approved a four-for-one stock split.That means that, for each share of Apple stock that an investor owns, they'll receive three additional shares. It also makes single shares in Apple more affordable for investors to buy. It follows a similar move Apple made in 2014, when it offered a 7-to-1 stock split. At the time, Apple was trading above $600 per share. The split brought shares of Apple to about $92 a share.Read more details about Apple's earnings reportStock splits are cosmetic and do not fundamentally change anything about the company, other than possibly making the shares accessible to a larger number of investors because of their cheaper price.Since Apple stock currently trades above $380, it means investors should expect to again have a chance to buy a share of Apple for around $100, depending on where the stock trades at the end of August.The shares will be distributed to shareholders at the close of business on August 24, and trading will begin on a split-adjusted basis on August 31.This is Apple's fifth stock split since it went public. It also split on a 7-for-1 basis on June 9, 2014; a 2-for-1 basis on February 28, 2005; a 2-for-1 basis on June 21, 2000; and on a 2-for-1 basis on June 16, 1987.Subscribe to CNBC on YouTube.",0
"As Apple Nears $2 Trillion, Its Share of S&P 500 Hits Milestone - Bloomberg.com",https://www.bloomberg.com/news/articles/2020-08-04/as-apple-nears-2-trillion-its-share-of-s-p-500-hits-milestone,"Tue, 04 Aug 2020 07:00:00 GMT","['Lu Wang', 'Vildana Hajric', 'Lu Wang Vildana Hajric']","The world gawked two years ago when Apple Inc. ’s market value crossed $1 trillion for the first time. But the feat was less noteworthy when viewed from another perspective: relative size.That’s because, even with a 13-digit price tag, Apple’s place among its peers in August 2018 wasn’t unprecedented -- it had gotten bigger, but so had the whole market. As a result, its weighting in the S&P 500 remained comparable to past titans in their heyday, such as Exxon Mobil Corp. and IBM Corp.",1
Wedbush: Apple (AAPL) iPhone 12 ‘Supercycle Reality Meeting Hype’ - Kiplinger,https://www.kiplinger.com/investing/stocks/tech-stocks/602018/aapl-wedbush-apple-iphone-12-supercycle-reality-meeting-hype,"Thu, 31 Dec 2020 08:00:00 GMT","['Kyle Woodley', 'Social Links Navigation']","Apple's (AAPL, $133.72) stock price was up modestly today on the back of an analyst note from Wedbush's Dan Ives saying that supply chain checks for iPhone 12 units ""have now exceeded even our 'bull case scenario' for units in FY21.""""Based on our recent Asia checks we believe the supply chain is anticipating low to mid 90 million iPhone unit builds … a roughly 35% increase from our original and Street forecasts,"" says Ives, who covers AAPL stock for Wedbush.Compare that to the firm's expectations for iPhone 12 unit sales over time. Three months ago, Wedbush expected 65 million to 70 million unit builds for the December quarter; it raised its outlook to 75 million units in late October; and in mid-December, it set a ""stretch goal"" in the mid-80 million range.From just $107.88 $24.99 for Kiplinger Personal Finance Be a smarter, better informed investor. CLICK FOR FREE ISSUE Sign up for Kiplinger’s Free Newsletters Profit and prosper with the best of expert advice on investing, taxes, retirement, personal finance and more - straight to your e-mail. Profit and prosper with the best of expert advice - straight to your e-mail. Sign upMomentum for Apple's foray into 5G technology is building for the March quarter, too. ""Builds for total iPhones ticked up again another 5% over the last week and are now in the 60 million to 70 million range,"" Ives says.Wall Street broadly sees AAPL selling 217 million iPhones in the company's fiscal 2021, but Wedbush's bull case is ""north of 240 million units (250 million could be in the cards – an eye popping figure)"" that would easily surpass the 231 million units the company sold in its fiscal 2015.""We have not seen a launch uptrend such as this in a number of years for Apple and the only iPhone trajectory similar would be the iPhone 6 in 2014 based on our analysis.""Driving strength is China, which Ives calls a ""linchpin to Apple's 5G supercycle."" The country is providing ""considerable strength"" in sales, and trends appear to be positive heading into 2021.AAPL stock set a new closing high of $136.69 per share on Dec. 28 and continues to trade close to that level amid continued optimism over this iPhone cycle. Wedbush's Ives maintained his Outperform rating (equivalent of Buy) and a $160 price target – a 17% gain from Wednesday's closing price. However, he sees a bull-case price target of $200, or 46% potential upside, for Apple's shares.Sign up for Kiplinger's FREE Investing Weekly e-letter for stock recommendations and other investing advice.",1
Fed Is Getting Awfully Close to Backing Apple Stock - Yahoo Finance,https://finance.yahoo.com/news/fed-getting-awfully-close-backing-100025920.html,"Mon, 06 Jul 2020 07:00:00 GMT","['Brian Chappatta', 'July', 'Min Read']","Obviously, cash is mostly fungible for large enterprises, and any number of American companies in recent years surely issued bonds for reasons other than buybacks and also repurchased shares. Goldman Sachs Group Inc. estimated some $700 billion of shares were acquired by U.S. companies in 2019, which would make them the biggest net buyer of equities.Luca Maestri, Apple’s chief financial officer, said during the last quarter’s earnings call that the company has more than $90 billion in stock buyback authorization left, adding that it plans to continue the same capital allocation policy going forward.In each of Apple’s past three dollar-bond sales, in November 2017, September 2019 and May, the company said it would use proceeds at least in part to repurchase common stock and pay dividends under its program to return capital to shareholders. In total, the company has doled out more than $200 billion since the start of 2018. It’s easy to see why company leadership would see it as too cheap not to borrow. Apple has the second-highest investment-grade credit ratings from Moody’s Investors Service and S&P Global Ratings, allowing it to issue $2.5 billion of 30-year bonds in May that yielded just 2.72%. Its $2 billion of three-year debt, within the Fed’s maturity range, priced to yield less than 0.85%.With so much cash, that naturally raises the question: Why does Apple take on debt in the first place?Then there’s Apple. As a reminder, it’s the largest U.S. company by market capitalization at $1.57 trillion, edging out Microsoft Corp. and Amazon.com Inc. Its shares have easily rebounded from the selloff caused by the coronavirus pandemic, rallying 24% so far in 2020. Yes, Apple has about $100 billion of debt outstanding, but it’s also known for having one of the largest cash piles in the world. It’s so big, in fact, that the company could repay all its obligations and still have roughly $83 billion left over.The central bank’s Secondary Market Corporate Credit Facility recently released details about its “Broad Market Index,” which is a roadmap for which individual bonds it will buy for its portfolio after changing the rules to avoid forcing issuers to certify they’re in compliance with the Coronavirus Aid, Relief, and Economic Security Act. Just looking at the 13 companies with weightings of at least 1%,(2)which collectively make up almost one-fifth of the index, a few things stand out. First, there are six automobile companies, with subsidiaries of Japan’s Toyota Motor Corp. and Germany’s Volkswagen AG and Daimler AG as the three largest issuers overall. In fourth is AT&T Inc., the largest nonfinancial borrower due in no small part to its $85.4 billion takeover of Time Warner Inc.(Bloomberg Opinion) -- It doesn’t take much imagination to see the Federal Reserve supporting the stock price of Apple Inc.Story ContinuesStill, Apple openly using debt sales to help finance share repurchases puts the Fed in a somewhat awkward position. Chair Jerome Powell has consistently framed questions about its secondary-market facility in the context of supporting the central bank’s full employment mandate. Workers are “the intended beneficiaries of all of our programs,” he said in a hearing last month. It’s possible Americans “are able to keep their jobs because companies can finance themselves.”And yet, the Fed’s secondary-market facility comes with no strings attached. In fact, as I noted last month, its maneuver to create Broad Market Index Bonds circumvented the CARES Act requirement that any company must have “significant operations in and a majority of its employees based in the United States.” Rather than focus on the American worker, the stated goal is to “support market liquidity for corporate debt,” and, by extension, keep borrowing costs down for creditworthy firms. So there’s every reason to expect that Apple can and will issue bonds again in the near future, at an even cheaper rate, to fund stock buybacks and dividends. That, in turn, would most likely support share prices.That shouldn’t sit well with many people. Even President Donald Trump, who has used the stock market as a barometer of his economic policies, has signaled a preference for capital projects over buybacks. On March 20, just before the S&P 500 Index fell to its lowest level of the Covid-19 selloff, he lamented that companies used the money saved from his 2017 tax cut to repurchase shares rather than build factories. He said at the time that he would support a prohibition on buybacks for companies that receive government aid.“When we did a big tax cut and when they took the money and did buybacks, that’s not building a hangar, that’s not buying aircraft, that’s not doing the kind of things that I want them to do,” Trump said. “We didn’t think we would have had to restrict it because we thought they would have known better. But they didn’t know better, in some cases.”The Fed’s strategy for buying corporate bonds is passive enough that few would equate it to receiving direct assistance from the federal government. The same can’t be said about the central bank’s Primary Market Corporate Credit Facility, which as of last week is open for business. Companies that want to place bonds directly with the Fed must certify that they have “not received specific support pursuant to the CARES Act or any subsequent federal legislation” and “satisfy the conflicts-of-interest requirements of section 4019 of the CARES Act.” As my Bloomberg Opinion colleague Matt Levine described in detail last week, there’s a huge amount of paperwork for issuers, and the Fed has the right to demand its money back if the forms are wrong and companies use funds for unapproved reasons.In all likelihood, these constraints will turn almost every company away from the Fed’s primary-market facility. Instead, finance officers will reap the benefits of the central bank’s broad secondary-market interventions to issue new debt to private investors at rock-bottom rates and with no such rules, as they have for the past three months. And Wall Streeters will be happy with business-as-usual in the credit markets.To put it plainly one more time: The Fed didn’t have to loosely interpret the law to create this index of corporate debt. It was already following through on its pledge to buy exchange-traded funds and had a system in place for companies to become eligible for individual purchases. It chose this third route, encouraging headlines like “Buying Corporate Bonds Is Almost Easy Money, Strategists Say.” What could go wrong?Now that it’s scooping up individual bonds issued for share buybacks without any stipulations, policy makers should be asked again why this program is the right way to go about supporting the recovery. The truth is likely that corporate America needs low-cost debt to survive. Apple and its shareholders are more than happy to tag along for the ride.(1) The Fed's facility has not yet purchased debt from all the companies in the index, at least according to its disclosure, which only covers the$429 million in bonds it bought on June 16 and 17. Its largest purchases were Comcast Corp., AbbVie Inc. and AT&T Inc.This column does not necessarily reflect the opinion of the editorial board or Bloomberg LP and its owners.Brian Chappatta is a Bloomberg Opinion columnist covering debt markets. He previously covered bonds for Bloomberg News. He is also a CFA charterholder.For more articles like this, please visit us at bloomberg.com/opinionSubscribe now to stay ahead with the most trusted business news source.©2020 Bloomberg L.P.",0
"AAPL Opened at All-Time High, Shares Have Risen Nearly 150% Since Late March - MacRumors",https://www.macrumors.com/2020/12/29/aapl-opens-at-all-time-high/,"Tue, 29 Dec 2020 08:00:00 GMT","['Joe Rossignol', 'Hartley Charlton', 'Juli Clover', 'Mitchel Broussard']","Apple's stock opened at a new all-time high of $138.05 today, eclipsing the company's previous opening record of $137.59 set on September 2, 2020. However, the share price has since trended downwards slightly in intraday trading.Apple has seen its stock price rise nearly 150% since opening at a 2020 low of $57.02 in late March, a few weeks after COVID-19 was declared a pandemic by the World Health Organization. The company has thrived during the pandemic, seeing strong demand for devices like Macs and iPads as many people work, learn, and socialize from home.Apple set a September quarter record with $64.7 billion revenue, and its December quarter could be even more impressive, as the entire iPhone 12 lineup launched within the quarter due to pandemic-related delays. In fact, the oft-lucrative holiday quarter could see Apple report all-time high quarterly revenue above $100 billion for the first time ever, according to 27 analyst estimates averaged by Yahoo Finance.It's worth noting that Apple announced a four-for-one stock split in August, and split-adjusted trading began at the end of that month.",1
Can Apple Stock Reach $500? - The Motley Fool,https://www.fool.com/investing/2020/04/21/can-apple-stock-reach-500.aspx,"Tue, 21 Apr 2020 07:00:00 GMT","['Evan Niu', 'Https', 'Www.Facebook.Com Themotleyfool']","Evercore believes Apple shares can get there under the best circumstances.With the coronavirus likely to create a global recession, it may be hard to imagine Apple (AAPL +0.04%) shares soaring to $500, or over 75% higher than yesterday's close. But that's where Evercore analyst Amit Daryanani thinks the stock can go under optimistic circumstances. In a research note released over the weekend, Daryanani outlined an ""upside case"" where improved profitability could potentially drive multiple expansion.Here's what investors need to know.The path to $500Daryanani reiterated an outperform rating and $325 price target on Apple, while describing a bullish scenario in which the stock could reach $500 if Apple can meaningfully enjoy operating leverage and expand gross margin for its hardware products back to 34%.While gross margin in the products category hit 34% in the fourth quarter, Apple's hardware business is highly seasonal; operating leverage peaks over the holiday shopping season. For 2019, Apple's gross margin for hardware products was 32.2%, compared to a 64.1% gross margin for the services category.However, that could be challenging, given that the expected shift to 5G iPhones will be expensive due to increased component costs associated with the new technology.Under the analyst's base case, which underpins the overall $325 price target, Daryanani expects product gross margin to stay flat. In that scenario, Apple may also struggle to demonstrate operating leverage if operating expense growth continues to outpace revenue growth. In recent quarters, operating expenses have been marching higher, driven predominantly by higher investments in research and development while the revenue growth decelerates.Still, the company's strong execution in wearables and services are encouraging, according to the analyst. That will help bolster Apple's business outside of the iPhone. ""We expect wearables and services to sustain double digit growth driven by uptick in [average revenue per user] and better monetization of the install base,"" Daryanani wrote in a research note to investors.The bull case of $500 per share corresponds to Apple's valuation multiple expanding to 27 times forward earnings, which would be unprecedented territory for the $1.2 trillion company, but in line with other companies that sell luxury goods to consumers.The flip side of Evercore's analysis includes a bearish scenario in which the stock falls to $200, which could occur if the coronavirus causes a prolonged recession that leads to stagnant earnings through fiscal 2021. Overall, Evercore believes that Apple shares offer an attractive risk/reward trade-off, among the best in the tech sector, so Daryanani recommends that investors take advantage of coronavirus-related volatility to buy the stock.",1
Should Apple (AAPL) Split Its Stock? - Nasdaq,https://www.nasdaq.com/articles/should-apple-aapl-split-its-stock-2020-01-06,"Mon, 06 Jan 2020 08:00:00 GMT",[],"After a blowout 2019 in which Apple (AAPL) stock surged 86%, earning the title as the Dow’s best-performer, the iPhone maker is on track again for an impressive 2020. But is it now time for Apple to consider another stock split?Apple is once again the largest publicly-traded company in the U.S., reclaiming that status from Microsoft (MSFT). Apple’s 2019 stock performance has been due to a combination of factors, including strategic product releases and its well-timed stock buyback strategy. These moves, which has served the company well over the past several years, has allowed driven Apple to outperform the S&P 500 index over the past decade. In this new decade, it’s already building up to be more of the same.Apple stock closed Friday at $297.43, which when rounding up to $300, makes me think it’s time for Apple to split its shares. Apple has split its shares on four previous occasions. Generally, companies enact stock splits to make shares easier to buy for individual investors. The last time Apple shares split was in 2014 when Apple enacted 7-to-1 split. At the time, the shares traded at $655.90. The other three times Apple split its shares are noted below:Based on Friday’s closing price of $297.43, Apple shares are valued at 2014 split-adjusted price of $2082.02. CEO Tim Cook in 2014 had then noted that one of the reason for splitting the stock was that he wanted the shares to become more accessible to a larger number of investors. In the end, however, splitting a stock does nothing for the overall value of a business. But now that the stock is near all-time highs, it makes sense for another 2-for-1 split.The lower share price of $150 after a 2-for-1 split may entice more buying among would-be investors, particularly those who prefer larger number of shares. And if those would-be investors were unwilling to shell out the cash for stock trading at $300, Apple at $150 will appear more affordable. I expect the stock, which is viewed favorably on Wall Street (80% of analysts rates the stock a Buy) to continue to rise this year, especially as Apple is approaching a 5G super-cycle.The rollout of 5G networks is expected to result in a super-cycle, with analysts expecting Apple to unveil an expanded lineup of iPhones (likely five versions), driving Apple’s iPhone revenues to grow by over 10% in 2020. What’s more, Apple stock currently ranks as one the highest-priced components of the Dow Jones Industrial Average which is a price-weighted index.After surpassing UnitedHealth (UNH) (priced at $289.54) Apple is second only to Boeing (BA) (priced at $332.76), which it is poised to surpass at some point this year on its way to becoming the most influential in the average. Gene Munster, analysts at Loup Ventures sees the stock rising above $400 at some point in 2020.While Apple stock climbing to $400 would be good news for current investors and Apple, it’s worth asking, would it be good for Apple? Already the largest publicly-traded company on the market, becoming the most-influential on the Dow may invite pressure it doesn’t need. For these reasons, I’m expecting a stock split to be one of the topics Tim Cook will have to address at some point in the next few months.The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",0
Apple Stock Uptrend May Be Coming to an End - Investopedia,https://www.investopedia.com/apple-stock-uptrend-may-be-coming-to-an-end-5071246,"Tue, 14 Jul 2020 07:00:00 GMT",['Alan Farley'],"Dow component Apple Inc. (AAPL) may be at or near a long-term top that won't be challenged for months or years to come. The potential downside would finally acknowledge long-term damage to the iconic brand as a result of the pandemic and tens of millions of job losses. Specifically, those folks won't have the resources to keep up with the company's endless upgrade cycles, instead choosing to apply limited funds to household essentials.The stock's price-to-earnings ratio (P/E) has lifted to a lofty 30 in recent weeks, despite obvious headwinds. More importantly, speculation by so-called ""Robinhood traders"" has driven much of the upside, with younger Americans using stimulus checks to open commission-free trading accounts. The upside explosion in the tech-heavy Nasdaq 100 reflects this speculative fervor, widening the performance spread with the S&P 500 to historic levels.Mean reversion has proven to be the market's most reliable force in the past 100 years, with counter-trends alleviating extreme price action to the upside or downside. We saw this mechanism in all its glory after the March lows, with extremely oversold technical readings yielding one of the strongest rally impulses on record. However, the sword cuts both ways, and the same technical measurements have now lifted into extremely overbought readings.Market insiders also view the Robinhood crowd as ""dumb money"" despite their short-term profits, setting the stage for hedge funds to directly target this supply in an effort to empty their growing accounts. The strategy shouldn't be too difficult because the vast majority of these folks have no risk management skills. We've also been here before – in 1987, 1999, and 2007 – although we really don't know how things will turn out this time around.Apple Long-Term Chart (2007 – 2020)TradingView.comApple stock broke out above the 2007 high in the upper $20s in 2010, entering a strong uptrend that topped out just above $100 in 2012. A decline into the 50-month exponential moving average (EMA) found support in the second quarter of 2013, while the subsequent uptick hit new highs about 18 months later. It topped out once again in the $130s in 2015, while the subsequent pullback ended at the same moving average in 2016.That support level worked just as efficiently for the third time in December 2018, setting the stage for a November 2019 breakout that stalled above $320 in February 2020. The stock posted a higher low in March and turned sharply higher into the second quarter, breaking out once again in June. This buying impulse posted an all-time high on Monday, ahead of a wide-range intraday reversal that could signal the end of the current rally wave.Apple Short-Term Chart (2018 – 2020)TradingView.comPrice action since December 2018 has carved a classic Elliott five-wave rally pattern. Admittedly, the structure fulfills most but not all of Elliott's requirements because the bottom of the fourth wave overlaps the top of the first wave, which ""shouldn't"" happen. However, this occurs frequently in the real world because support and resistance levels have widened due to the influence of algorithmic trading routines in the past two decades.Parabolas and buying climaxes are closely associated with the fifth wave, and Apple's 2020 action is no exception. It's the longest of the three impulse waves by a wide margin and hasn't carved a single major support level between the inception at $212 and the (unconfirmed) termination at $400. In turn, this can yield volatile downside action that has the potential to give up 100% of the final rally wave.While it's too early to look at worst-case scenarios, shareholders and other interested parties should pay close attention to price action near the rising 50-day EMA at $340, which would mark a first downside target if selling pressure continues. If that level breaks, the red line at $328 will mark the bulls' line in the sand because a violation would generate a failed breakout that sets off an additional round of sell signals.The Bottom LineApple stock may be close to a long-term top that won't be challenged for months or years.Disclosure: The author held no securities in the aforementioned securities at the time of publication.",1
Apple Plans Augmented Reality Content to Boost TV+ Video Service - Bloomberg.com,https://www.bloomberg.com/news/articles/2020-08-26/apple-plans-augmented-reality-content-to-boost-tv-video-service,"Wed, 26 Aug 2020 07:00:00 GMT",['Mark Gurman'],"Apple Inc. is planning to add augmented reality content to its Apple TV+ streaming video service, seeking new ways to attract and retain subscribers and drive interest in AR technology.In the new feature, elements of a TV show, like characters or objects, would be displayed on a viewer’s phone or tablet and integrated into the surrounding environment, according to people familiar with the project. For example, someone watching a moon-walking scene in the Apple show “For All Mankind” might be able to see a virtual lunar rover on their device’s display, seemingly perched atop their living room coffee table. The option would serve as bonus content akin to the director commentary or trailer that accompany a movie download and would be accessed from Apple’s TV app on the iPhone or iPad.",0
