title,url,date,authors,content,sentiment
Introducing Amazon One—a new innovation to make everyday activities effortless - About Amazon,https://www.aboutamazon.com/news/innovation-at-amazon/introducing-amazon-one-a-new-innovation-to-make-everyday-activities-effortless,"Tue, 29 Sep 2020 07:00:00 GMT","['Dilip Kumar', 'Vice President', 'Aws Applications']","Starting today, customers can use Amazon One as an entry option at two of our Amazon Go stores in Seattle—our original Amazon Go store at 7 th & Blanchard as well as our store in South Lake Union at 300 Boren Ave. North. It takes less than a minute to sign up at these Amazon Go stores using an Amazon One device. The first step is to insert your credit card. Next, hover your palm over the device and follow the prompts to associate that card with the unique palm signature being built for you by our computer vision technology in real time. You’ll have the option to enroll with just one palm or both. And that’s it—you’re now signed up. Once you’re enrolled, to use Amazon One to enter these Amazon Go stores, you’ll just hold your palm above the Amazon One device at entry for about a second or so, and be on your way. It’s that simple.",0
"Why AWS loves Rust, and how we’d like to help | AWS Open Source Blog - Amazon Web Services (AWS)",https://aws.amazon.com/blogs/opensource/why-aws-loves-rust-and-how-wed-like-to-help/,"Tue, 24 Nov 2020 08:00:00 GMT",[],"One of the most exciting things about the Rust programming language is that it makes infrastructure incredibly boring. That’s not a bad thing, in this case. No one wants their electrical wiring to be exciting; most of us prefer the safety that comes with being able to flip a switch and have light to see by. For similar reasons, at AWS we increasingly build critical infrastructure like the Firecracker VMM using Rust because its out-of-the-box features reduce the time and effort needed to reach Amazon’s high security bar, while still delivering runtime performance similar to C and C++.Though AWS has benefited from Rust for several years, we’re looking for ways to contribute in meaningful ways. As Shane Miller, Senior Software Engineering Manager at AWS, says, “Rust helps us deliver fast, robust services to AWS customers at Amazon scale,” and we’re committing to further strengthen a community that has greatly benefited us and our customers. This commitment has included code contributions to Rust and Tokio, a runtime for writing asynchronous applications with Rust, but our commitment to the Rust community goes beyond code. In partnership with more than 5,500 contributors to Rust, we contribute in a variety of ways, all intended to enable AWS and others in the Rust community to build systems with confidence.In this post I’ll explain where (and why) AWS uses Rust, and how our contributions continue to evolve.Rust’s popularity growsDespite only hitting version 1.0 in 2015, Rust has become exceptionally popular. For five straight years, Rust has topped Stack Overflow’s “Most Loved” programming language list, based on survey responses from more than 65,000 developers. Meanwhile in Redmonk’s rankings of programming languages, Rust has cracked the top-20, a significant feat given the staying power of Java, C, JavaScript, etc.Here at AWS, we love Rust, too, because it helps AWS write highly performant, safe infrastructure-level networking and other systems software. Amazon’s first notable product built with Rust, Firecracker, launched publicly in 2018 and provides the open source virtualization technology that powers AWS Lambda and other serverless offerings. But we also use Rust to deliver services such as Amazon Simple Storage Service (Amazon S3), Amazon Elastic Compute Cloud (Amazon EC2), Amazon CloudFront, Amazon Route 53, and more. Recently we launched Bottlerocket, a Linux-based container operating system written in Rust. Our Amazon EC2 team uses Rust as the language of choice for new AWS Nitro System components, including sensitive applications such as Nitro Enclaves.Why has Rust proved so popular at AWS and elsewhere? As mentioned, this comes down to Rust’s cardinal virtues: performance and reliability.Because Rust does not require a runtime or garbage collector, it is able to achieve runtime performance similar to C and C++. At the same time, Rust uses a strict type system and ownership model to achieve compile-time verification of memory and concurrency safety, making the cost of testing and validating Rust implementations significantly lower than C/C++. Carl Lerche, a principal AWS engineer, says Rust and Tokio give AWS the ability to write services that respond fast, reliably, and that help us offer a better customer experience.But there’s more to Rust than code. David Barsky, a software engineer at AWS, says that Rust really focuses on providing a great experience for people. “So much so, it attracted a whole of bunch of people to systems programming who’ve never done it before, myself included,” he adds. The Rust community is particularly welcoming, reaching out to those that haven’t traditionally participated in systems programming or open source.For these and other reasons, we’ve looked for more ways to participate in the Rust community.Building for the buildersIn 2019 we announced our sponsorship of the Rust open source project. Such funding helped the Rust community to run ecosystem-wide regression tests with Crater on Amazon EC2, for example. It was good, but we wanted to do more.Ultimately, open source communities like Rust are about people, and we started hiring Rust and Tokio committers to ensure they’d have the time and resources necessary to further improve Rust. This led us to build a team around Tokio, hiring contributors like Sean McArthur, Lucio Franco, Jon Gjengset, and Lerche to continue to work side-by-side with developers from Buoyant, Dropbox, Confluent, vector.dev, fly.io, and more.More recently, we’ve been fortunate to hire key Rust maintainers such as Felix Klock. Given our dependence on Rust, we need deep in-house Rust expertise, just as we have with Java and other foundational technologies. Marc Brooker, a senior principal engineer at AWS, explains, “Hiring engineers to work directly on Rust allows us to improve it in ways that matter to us and to our customers, and help grow the overall Rust community.” At the same time, these investments for customers dovetail nicely with community priorities.Let’s be clear: We understand that we are net beneficiaries of the exceptional work that others have done to make Rust thrive. AWS didn’t start Rust or make it the success that it is today, but we’d like to contribute to its future success. We are convinced that investing in the wider Rust ecosystem helps our customers and those who may never become our customers. That’s OK. That’s how open source is supposed to work.“We’re not just hiring a couple of folks for Tokio and the Rust compiler,” Miller says. “Rust is a critical component of our long-term strategy, and we’re investing to deliver Rust engineering at Amazon scale. That includes developer tools, infrastructure components, interoperability, and verification.” And, as she’s quick to highlight that Rust is community-built: There have been more than 5,500 contributors to Rust since its inception, with an average of 350 contributors to each release.At AWS, we are grateful to be part of this welcoming, productive Rust community. If you’d like to help make Rust even better, there are a number of ways for you to get involved. And if you’d like to join our team, please see the open positions on our Rust/Tokio team.",0
Amazon Halts Police Use Of Its Facial Recognition Technology - NPR,https://www.npr.org/2020/06/10/874418013/amazon-halts-police-use-of-its-facial-recognition-technology,"Wed, 10 Jun 2020 07:00:00 GMT",[],"Amazon Halts Police Use Of Its Facial Recognition TechnologyEnlarge this image toggle caption Reed Saxon/AP Reed Saxon/APUpdated on June 12 at 12:55 p.m. ETAmazon announced on Wednesday a one-year moratorium on police use of its facial-recognition technology, yielding to pressure from police-reform advocates and civil rights groups.It is unclear how many law enforcement agencies in the U.S. deploy Amazon's artificial intelligence tool, but an official with the Washington County Sheriff's Office in Oregon confirmed that it will be suspending its use of Amazon's facial recognition technology.Researchers have long criticized the technology for producing inaccurate results for people with darker skin. Studies have also shown that the technology can be biased against women and younger people.Sponsor MessageIBM said earlier this week that it would quit the facial-recognition business altogether. In a letter to Congress, chief executive Arvind Krishna condemned software that is used ""for mass surveillance, racial profiling, violations of basic human rights and freedoms.""And Microsoft President Brad Smith told The Washington Post during a livestream Thursday morning that his company has not been selling its technology to law enforcement. Smith said he has no plans to until there is a national law.Congressional Democrats are seeking to regulate the technology in sweeping police reform legislation inspired by the nationwide protests over the killing of George Floyd, an unarmed black man who died in Minneapolis after a white police officer knelt on his neck for nearly nine minutes.The proposed bill would limit how much federal law enforcement officials could use facial recognition technology, including a ban on using the software with police body-worn cameras.In its statement, Amazon officials say the company supports federal regulation for its algorithm-driven facial recognition software, known as Rekognition.""We hope this one-year moratorium might give Congress enough time to implement appropriate rules, and we stand ready to help if requested,"" the company said in a statement.Amazon noted that authorities will still be able to use the facial recognition technology to help rescue human trafficking victims and reunite missing children with their families.Sponsor MessageRekognition is part of Amazon Web Services, the tech giant's cloud computing division. It can use machine learning to rapidly compare an image captured from a person's social media account or from an officer's smartphone to look for a match from a database of hundreds of thousands of mugshots. Critics have been wary that using an algorithm to confirm who someone is can lead to cases of mistaken identity.Nicole Ozer, technology and civil liberties director with the ACLU of Northern California, said a blanket ban on the technology is needed, but she welcomed Amazon's one-year pause, saying it shows that the company is ""finally recognizing the dangers face recognition poses to black and brown communities and civil rights more broadly.""Ozer added: ""Face recognition technology gives governments the unprecedented power to spy on us wherever we go. It fuels police abuse. This surveillance technology must be stopped.""Fight for the Future, a digital rights advocacy group, is also calling for an outright national ban on facial recognition technology and says Amazon's one-year break appears strategic.""They've been calling for the federal government to 'regulate' facial recognition, because they want their corporate lawyers to help write the legislation, to ensure that it's friendly to their surveillance capitalist business model,"" the group said. ""The reality is that facial recognition technology is too dangerous to be used at all.""American intelligence and military officials have long used facial recognition software in overseas anti-terrorist operations, but local and federal law enforcement agencies inside the U.S. have increasingly turned to the software as a crime-fighting tool. Immigration and Customs Enforcement has used the technology to scan millions of driver's licenses for possible matches.One study by the Massachusetts Institute of Technology demonstrated that while men with lighter skin were often almost always positively identified, about 7% of women with lighter skin were misidentified and up to 35% of women with darker skin were falsely identified.Sponsor Message""With IBM's decision and Amazon's recent announcement, the efforts of so many civil liberties organizations, activists, shareholders, employees and researchers to end harmful use of facial recognition are gaining even more momentum,"" said Joy Buolamwini, who led the MIT study and founded the Algorithmic Justice League, which is calling for a nationwide moratorium on all government use of facial recognition technologies. ""The first step is to press pause.""",-1
We are implementing a one-year moratorium on police use of Rekognition - About Amazon,https://www.aboutamazon.com/news/policy-news-views/we-are-implementing-a-one-year-moratorium-on-police-use-of-rekognition,"Wed, 10 Jun 2020 07:00:00 GMT",['Amazon Staff'],"We’ve advocated that governments should put in place stronger regulations to govern the ethical use of facial recognition technology, and in recent days, Congress appears ready to take on this challenge. We hope this one-year moratorium might give Congress enough time to implement appropriate rules, and we stand ready to help if requested.",1
Price gouging has no place in our stores - About Amazon,https://www.aboutamazon.com/news/company-news/price-gouging-has-no-place-in-our-stores,"Mon, 23 Mar 2020 07:00:00 GMT",[],"Working closely with law enforcement and policymakers to hold bad actors accountableLaw enforcement is critical to combating bad actors and protecting our customers. In most cases, state attorneys general are on the front lines of these efforts. Amazon is eager to partner with—and has proactively reached out to—every state attorney general in the country. We are actively collaborating with attorneys general in more than ten states, and with numerous federal prosecutors, as they work to investigate and prosecute alleged price gougers. To advance price gouging investigations and resolutions, we have also created a special mechanism for state attorneys general offices to quickly and easily escalate the consumer complaints they have received. We are also proactively sharing information with state attorneys general and federal regulators about sellers we suspect have engaged in egregious price gouging of products related to the COVID-19 crisis.",0
Wondery to join Amazon Music - About Amazon,https://www.aboutamazon.com/news/company-news/wondery-to-join-amazon-music,"Wed, 30 Dec 2020 08:00:00 GMT",['Amazon Music Team'],"We’re pleased to announce that Wondery has signed an agreement to join Amazon Music. Wondery is an innovative podcast publisher with a track record of creating and producing top-rated podcasts that entertain and educate listeners, including “Dirty John,” “Dr. Death,” “Business Wars,” and “The Shrink Next Door.” Wondery is already delighting listeners with its collection of immersive podcasts, and the company is evolving this entertainment medium into a truly new and exciting experience. When the deal closes, nothing will change for listeners, and they’ll continue to be able to access Wondery podcasts through a variety of providers. With Amazon Music, Wondery will be able to provide even more high-quality, innovative content and continue their mission of bringing a world of entertainment and knowledge to their audiences, wherever they listen.",0
Amazon introduces 'Distance Assistant' - About Amazon,https://www.aboutamazon.com/news/operations/amazon-introduces-distance-assistant,"Fri, 12 Jun 2020 07:00:00 GMT",['Brad Porter'],"As we've continued to learn and innovate to support the health and safety of our associates, we also saw an opportunity to evolve our tech even further and promote social distancing behavior in real-time. Given social distancing isn’t always natural, this team set out to use augmented reality to create a magic-mirror-like tool that helps associates see their physical distancing from others. Working backwards from a concept of immediate visual feedback, and inspired by existing examples like radar speed check signs, our 'Distance Assistant' provides employees with live feedback on social distancing via a 50 inch monitor, a camera, and a local computing device. The standalone unit uses machine learning models to differentiate people from their surroundings. Combined with depth sensors, it creates an accurate distance measurement between associates.",0
Go behind the scenes as Amazon develops a new electric vehicle - About Amazon,https://www.aboutamazon.com/news/sustainability/go-behind-the-scenes-as-amazon-develops-a-new-electric-vehicle,"Thu, 30 Jan 2020 08:00:00 GMT",['Meg Coyle'],"""We are focused on driving efficiency into every aspect of the vehicle design—everything from cabin heating to driver ergonomics to drivetrain design has been optimized for time and energy,"" said R.J. Scaringe, CEO of Rivian. ""And then the echo effect of this, of causing other logistics players in this space to also look at how they drive up efficiency within their fleet, will have a very large impact.""",0
We’re acquiring Zoox to help bring their vision of autonomous ride-hailing to reality - About Amazon,https://www.aboutamazon.com/news/company-news/were-acquiring-zoox-to-help-bring-their-vision-of-autonomous-ride-hailing-to-reality,"Fri, 26 Jun 2020 07:00:00 GMT",[],"Amazon and Zoox are pleased to announce that we've signed an agreement for Amazon to acquire Zoox. Zoox is a forward-thinking team that is pioneering the future of ride-hailing by designing autonomous technology from the ground up with passengers front-of-mind. Aicha Evans, Zoox CEO, and Jesse Levinson, Zoox co-founder and CTO, will continue to lead Zoox as a standalone business as they innovate and drive towards their mission.",1
Amazon Sidewalk: a new way to stay connected - About Amazon,https://www.aboutamazon.com/news/devices/amazon-sidewalk-a-new-way-to-stay-connected,"Mon, 21 Sep 2020 07:00:00 GMT",['Amazon Staff'],"Launching later this year, Amazon Sidewalk will provide immediate benefits to customers. For example, with Sidewalk, you can continue to receive motion alerts from your security cameras even when your Wi-Fi goes down. Or if your Wi-Fi does not reach your smart lights at the edge of your driveway, Sidewalk can help them stay connected. In the future, Sidewalk will also support a range of experiences from using Sidewalk-enabled devices to help find pets or valuables, to smart security and lighting, to diagnostics for appliances and tools.",0
