title,url,date,authors,content,sentiment
The future is electric - J.P. Morgan,https://www.jpmorgan.com/insights/global-research/autos/future-is-electric,"Tue, 17 Nov 2020 08:00:00 GMT",[],"This material is not a product of the Research Departments of J.P. Morgan and is not a research report. Unless otherwise specifically stated, any views or opinions expressed herein are solely those of the authors listed, and may differ from the views and opinions expressed by J.P. Morgan’s Research Departments or other departments or divisions of J.P. Morgan and its affiliates.RESTRICTED DISTRIBUTION: Distribution of these materials is permitted to investment banking clients of J.P. Morgan.Distribution of these materials to others is not permitted unless specifically approved by J.P. Morgan. These materials are for your personal use only. Any distribution, copy, reprints and/or forward to others is strictly prohibited. Information has been obtained from sources believed to be reliable but J.P. Morgan does not warrant its completeness or accuracy. Information herein constitutes our judgment as of the date of this material and is subject to change without notice. Actual events or conditions are unlikely to be consistent with, and may differ materially from, those assumed. Accordingly, actual results will vary and the variations may be material.This material is not intended as an offer or solicitation for the purchase or sale of any financial instrument. In no event shall J.P. Morgan be liable for any use by any party of, for any decision made or action taken by any party in reliance upon, or for any inaccuracies or errors in, or omissions from, the information contained herein and such information may not be relied upon by you in evaluating the merits of participating in any transaction. J.P. Morgan makes no representations as to the legal, tax or accounting consequences of a transaction. The recipient should consult their own legal, regulatory, investment, tax, accounting and other professional advisers as deemed necessary in connection with any purchase of a financial product. This material is for the general information of our clients and is a “solicitation” only as that term is used within CFTC Rule 1.71 and 23.605 promulgated under the U.S. Commodity Exchange Act. Questions regarding swap transactions or swap trading strategies should be directed to one of the Associated Persons of J.P. Morgan’s Swap Dealers.JPMorgan Chase and its affiliates do not provide tax, legal or accounting advice. This material has been prepared for informational purposes only, and is not intended to provide, and should not be relied on for, tax, legal or accounting advice. You should consult your own tax, legal and accounting advisors before engaging in any transaction.J.P. Morgan is a marketing name for investment banking businesses of JPMorgan Chase & Co. and its subsidiaries worldwide. Securities, syndicated loan arranging, financial advisory and other investment banking activities are performed by a combination of J.P. Morgan Securities LLC, J.P. Morgan Limited, J.P. Morgan Securities plc and the appropriately licensed subsidiaries of JPMorgan Chase & Co. in EMEA and Asia-Pacific. Lending, derivatives and other commercial banking activities are performed by JPMorgan Chase Bank, N.A. J.P. Morgan deal team members may be employees of any of the foregoing entities.",0
JP Morgan economists warn climate crisis is threat to human race - The Guardian,https://www.theguardian.com/environment/2020/feb/21/jp-morgan-economists-warn-climate-crisis-threat-human-race,"Fri, 21 Feb 2020 08:00:00 GMT","['Patrick Greenfield', 'Jonathan Watts']","The world’s largest financier of fossil fuels has warned clients that the climate crisis threatens the survival of humanity and that the planet is on an unsustainable trajectory, according to a leaked document.The JP Morgan report on the economic risks of human-caused global heating said climate policy had to change or else the world faced irreversible consequences.The study implicitly condemns the US bank’s own investment strategy and highlights growing concerns among major Wall Street institutions about the financial and reputational risks of continued funding of carbon-intensive industries, such as oil and gas.JP Morgan has provided $75bn (£61bn) in financial services to the companies most aggressively expanding in sectors such as fracking and Arctic oil and gas exploration since the Paris agreement, according to analysis compiled for the Guardian last year.Its report was obtained by Rupert Read, an Extinction Rebellion spokesperson and philosophy academic at the University of East Anglia, and has been seen by the Guardian.The research by JP Morgan economists David Mackie and Jessica Murray says the climate crisis will impact the world economy, human health, water stress, migration and the survival of other species on Earth.“We cannot rule out catastrophic outcomes where human life as we know it is threatened,” notes the paper, which is dated 14 January.Drawing on extensive academic literature and forecasts by the International Monetary Fund and the UN Intergovernmental Panel on Climate Change (IPCC), the paper notes that global heating is on course to hit 3.5C above pre-industrial levels by the end of the century. It says most estimates of the likely economic and health costs are far too small because they fail to account for the loss of wealth, the discount rate and the possibility of increased natural disasters.The authors say policymakers need to change direction because a business-as-usual climate policy “would likely push the earth to a place that we haven’t seen for many millions of years”, with outcomes that might be impossible to reverse.“Although precise predictions are not possible, it is clear that the Earth is on an unsustainable trajectory. Something will have to change at some point if the human race is going to survive.”The investment bank says climate change “reflects a global market failure in the sense that producers and consumers of CO2 emissions do not pay for the climate damage that results.” To reverse this, it highlights the need for a global carbon tax but cautions that it is “not going to happen anytime soon” because of concerns about jobs and competitiveness.The authors say it is “likely the [climate] situation will continue to deteriorate, possibly more so than in any of the IPCC’s scenarios”.Without naming any organisation, the authors say changes are occurring at the micro level, involving shifts in behaviour by individuals, companies and investors, but this is unlikely to be enough without the involvement of the fiscal and financial authorities.Last year, analysis compiled for the Guardian by Rainforest Action Network, a US-based environmental organisation, found JP Morgan was one of 33 powerful financial institutions to have provided an estimated total of $1.9tn (£1.47tn) to the fossil fuel sector between 2016 and 2018.A JP Morgan spokesperson told the BBC the research team was “wholly independent from the company as a whole, and not a commentary on it”, but declined to comment further. The metadata on the pdf of the report obtained by Read said the document was created on 13 January and that the author of the file was Gabriel de Kock, an executive director at JP Morgan. The Guardian has approached the investment bank for comment.Pressure from student strikers, activist shareholders and divestment campaigners has prompted several major institutions to claim they will make the climate more of a priority. The business model of fossil fuel companies is also weakening as wind and solar become more competitive. Earlier this month, the influential merchant bank Goldman Sachs downgraded ExxonMobil from a “neutral” to a “sell” position. In January, BlackRock – the world’s biggest asset manager – said it would lower its exposure to fossil fuels ahead of a “significant reallocation of capital”.Environmental groups remain wary because huge sums are invested in petrochemical firms, but some veteran financial analysts say the tide is changing. The CNBC money pundit Jim Cramer shocked many in his field when he declared: “I’m done with fossil fuels. They’re done. They’re just done.” Describing how a new generation of pension fund managers was withdrawing support, he claimed oil and gas firms were in the death knell phase. “The world has turned on them. It’s actually happening kind of quickly. You’re seeing divestiture by a lot of different funds. It’s going to be a parade that says, ‘Look, these are tobacco. And we’re not going to own them,’” he said. “We’re in a new world.”",-1
Empowering People with Disabilities to Become Leaders And Drive Inclusion Forward - JPMorganChase,https://www.jpmorganchase.com/newsroom/stories/empowering-people-with-disabilities-jim-sinocchi,"Sat, 01 Aug 2020 07:00:00 GMT",[],"In 2020, amid the COVID-19 pandemic and the ongoing struggle for racial equality in America, intersectionality became a powerful tool for addressing prejudice. Coined in 1989 by American lawyer and civil rights advocate Kimberlé Crenshaw, intersectionality explores how different aspects of a person's identity combine to create different modes of discrimination and privilege.But while society has focused its attention on a variety of prejudices—including race, ethnicity, religion, gender identity and sexual orientation—one form of discrimination has gotten far less scrutiny: Disability.The Stark FactsThis is a problem I've experienced firsthand: As head of JPMorgan Chase's Global Office of Disability Inclusion, I work to advance opportunities for employees with disabilities and show their amazing potential for leadership. On a personal level, though, I've also come face to face with this discrimination: I'm paralyzed from the chest down, and I live and work in a wheelchair. With the necessary accommodations, I've become a senior executive. I've had the opportunity to not only advocate for the disabled, but also demonstrate what we—as a group—can accomplish.Recent research released by the National Disability Institute (NDI) on Race, Ethnicity and Disability connects the dots on the impact of disability discrimination. NDI found “strikingly persistent disparities"" in employment, income production and net worth between people with and without disabilities.And, again, intersectionality plays a part: Those disparities grow even larger for Americans with disabilities who are Black, indigenous and Latinx. Additionally, NDI found that health and financial challenges posed by COVID-19 further widened this population's economic disparities.One of the Institute's conclusions was particularly eye-catching: “The simultaneous experiences of discrimination and lack of access to economic opportunity—due to racism and ableism—deserves urgent attention.""A Need for Action“Ableism"" is not a new problem. A form of discrimination and social prejudice against people with disabilities, it is based on the belief that “typical"" abilities are superior.It would be nice to say that the 1990 Americans with Disabilities Act eradicated ableism, but that's far from true. While the landmark civil rights legislation was transformative in many ways, the fight for equality is far from over.On July 26, 2020, the ADA's 30th anniversary, JPMorgan Chase hosted an employee webcast with disability rights activist Judy Heumann. Judy, a wheelchair rider like me, fought tirelessly to get the ADA passed and continues to champion equality for people with disabilities today.Despite the progress we've made in three decades, Judy noted the fundamental prejudice that many people carry when she said, “I think consciously or unconsciously, people—not all people, but many people—look at us and think, 'How would I live my life if I were like Judy or Jim?'""Judy nailed it with that remark. I have a full and productive life—regardless of my disability. I've been married more than 30 years to my wife, Maggie, who's able-bodied. She gave birth to our two children and, today, we are proud grandparents.While I was already in a wheelchair when we met, people often assume that Maggie wouldn't have chosen to marry a quadriplegic. I can't tell you how many times during the course of our marriage she's been asked “Was your husband in a car accident?,"" “When did he become paralyzed?,"" or my personal favorite, asked by a restaurant waiter: “What would HE like for dinner?""These people aren't being intentionally rude, but they're in unfamiliar terrain. Their comments are shaped by society's views of people who look different—or act or think differently.The Need for LeadersWhile stigmas are dissolving, they're not going away as quickly as we'd all like—and that's what we've set out to change at JPMorgan Chase.With support from our Chairman and CEO Jamie Dimon and his leadership team, the Office of Disability Inclusion was created in 2016. Since then, we've endeavored to make our business more inclusive for people with disabilities. We've standardized the way we deliver reasonable accommodations and assistive technology to our employees and job applicants; we take a proactive approach to find—and do business with—companies owned by people with disabilities; and we continue to work to make our workplaces, branches and public buildings fully accessible.Those examples are the result of our company's “Four A's"" strategy—an approach that focuses on attitude, accessibility, accommodations and assimilation. A methodical, results-driven roadmap is necessary if you're serious about making headway in this area.While our work continues to make JPMorgan Chase more inclusive, the people who are really driving game-changing results are our colleagues with disabilities. People like:Dana Randel: A business analyst with Chase Home Lending in Plano, Texas, Dana has been deaf since birth. She proposed an idea that drove the development of Chase's first retail banking branch that is fully integrated with technology that enables our deaf and hard-of-hearing customers to do business. Located on H Street in Washington, D.C., this branch is near Gallaudet University, one of the top institutions of higher learning for deaf students in the U.S.Lauren Oplinger: A vice president with J.P. Morgan Public Finance Sales in New York City, Lauren is legally blind. She covers bond funds, asset managers and money market funds for tax-exempt and taxable municipal bond products. Her managers say she has the energy of four people, demonstrates an overwhelming drive to succeed and unifies her entire group.Sandhya Thakkar: A team leader with Agency Lending in Mumbai, India, Sandhya is partially paralyzed on her left side. She came to J.P. Morgan because she wanted to grow and be challenged. Now she's leading a team, proving her skills and training new colleagues without being viewed differently because of her disability.Role models dispel myths about what individuals with disabilities can accomplish, and we are proud to have so many of them at JPMorgan Chase. To address ill-conceived notions and prove that people with disabilities are leaders, we've featured Dana, Lauren, Lee and Sandhya in a series of advertisements in CAREERS & the disABLED magazine, a leading resource for job hunters with disabilities.Finding the BestTalent comes in all sizes, shapes and forms. If you have the qualifications, you can be a leader, a trail blazer and an incredible manager.All you need is an equal opportunity to prove yourself.People with disabilities have to prove themselves every day because they're already at a disadvantage. A blind lawyer I know navigates New York City's streets—and subway system—without assistance. One of my deaf colleagues says her ability to analyze body language and other nonverbal cues proves to be an advantage in her work with our customers. Of course, as a lip reader, she's had to overcome an additional hurdle during COVID-19: Face masks.We need to tell these stories, and show that people with disabilities are overcoming challenges, because that's what leaders do. If we want to create more jobs and economic opportunity, then we need to capitalize on ability—and look beyond disability.As Judy Heumann puts it, “The business community needs to do a better job in establishing what we are able to do—by dispelling views of what people think we can't do because of whatever type of disability we have.""Here at JPMorgan Chase, we could not agree more.",0
JP Morgan Pledges $30 Billion To Help Remedy Racial Wealth Gap - Forbes,https://www.forbes.com/sites/isabeltogoh/2020/10/08/jp-morgan-pledges-30-billion-to-help-remedy-racial-wealth-gap/,"Thu, 08 Oct 2020 07:00:00 GMT",['Isabel Togoh'],"Topline JP Morgan Chase & Co, the nation’s biggest bank by assets, on Thursday pledged $30 billion over the next five years in its latest efforts to solve the racial wealth gap made worse by the Covid-19 crisis, and as banking institutions—in the midst of a renewed anti-racism movement—make steps to redress decades of racial wealth inequality that they helped create. Jamie Dimon, chief executive officer of JPMorgan Chase & Co., said in a statement on Thursday: ""Systemic racism is a tragic part of America’s history! Getty ImagesKey FactsAs part of the pledge, which includes existing spending, the bank committed $8 billion towards originating tens of thousands of mortgages for Black and Latinx households. The $30 billion will be split over five years and will also fund an additional 100,000 affordable housing units for the communities that need them the most. The lender also aims to provide thousands of loans to small businesses in Black, Latinx and minority owners, while investing millions into minority-owned banks, credit unions and community development financial institutions. Thursday’s announcement builds on the bank’s existing commitments and financial pledges made in recent months, including mentoring thousands of Black students over the next decade, making homeownership more accessible and affordable, and supporting civil rights efforts.Crucial Quote“Systemic racism is a tragic part of America’s history. We can do more and do better to break down systems that have propagated racism and widespread economic inequality, especially for Black and Latinx people. It’s long past time that society addresses racial inequities in a more tangible, meaningful way,” CEO Jamie Dimon said in a statement.Big Number$1.7 billion. Excluding banks, that’s the amount that corporate America had pledged to address racial injustice by June this year, Reuters estimates.Key BackgroundThe resurgence of anti-racism protests following a spate of Black people being killed at the hands of police, has renewed a spotlight on institutions that have historically worked against the advancement of racial equality. Following the death of George Floyd on Memorial Day, large swaths of corporate America quickly voiced their support for the Black Lives Matter movement and protests, but were faced with calls both internally and externally, to commit to deeper, more meaningful change, over empty platitudes. Banks have been on the frontline of this change and have been identified as having played a major role in fostering a racial wealth gap through discriminatory business and mortgage lending practices that persist to this day. JP Morgan itself paid out $55 million in 2017 to settle claims minority borrowers were charged higher rates, and $24 million to former Black staff from its wealth management unit over workspace discrimination in 2018, and as recently as January its private bank was rocked by claims Black customers and staff faced discrimination.TangentOther major U.S. banks have made their own pledges to tackle workplace diversity, or historical links to the slave trade. But JP Morgan's lending promise could have a far greater impact for financially disenfranchised communities. Even so the WSJ notes $30 billion over five years is a fraction of the bank's $190 billion mortgage book.Further ReadingCiti Pledges $1 Billion To Narrow The Racial Wealth Gap, Confront Wealth Inequality (Forbes)Five Big Ideas To Narrow The Racial Wealth Gap (Forbes)",0
JPMorgan Chase partners with fintech start-up Marqeta to launch 'virtual' credit cards - CNBC,https://www.cnbc.com/2020/07/28/jpmorgan-partners-with-marqeta-to-launch-virtual-credit-cards.html,"Tue, 28 Jul 2020 07:00:00 GMT",['Kate Rooney'],"JPMorgan Chase is ditching plastic for some of its credit cards.The Wall Street giant's commercial cards team is partnering with Bay Area start-up Marqeta to launch digital-only credit cards. The new function will allow JPMorgan corporate cards to work in mobile wallets such as Apple Pay or Samsung Pay immediately — without having to wait for a physical version in the mail.""This is another way of getting virtual company cards into the hands of those who need them very quickly,"" John Skinner, head of commercial cards at JPMorgan, told CNBC in a phone interview. ""We know there's a need for this product — what Covid has taught us is that there's more use cases for this than we imagined.""This type of immediate, ""virtual"" card has historically been used for gig-economy, or contract workers who may need to pay expenses but wouldn't qualify for a corporate card. The digital version can also put certain spending parameters and per Diem totals, as well as restrictions on where an employee can spend.But as many Americans work from home during the pandemic, Skinner said it might also help those who don't have access to their offices, or primary address where a corporate card might normally arrive. Plus, the pandemic has accelerated the adoption of digital payments and contactless payments, upping the appeal for digital cards.Skinner said the feature will be available in early 2021, and only for commercial cards. He did not say if the bank has plans to expand to its Chase, consumer side.Marqeta provides the same technology for DoorDash and Instacart, which issue virtual cards to delivery workers to pay for groceries or takeout orders in person. Square also uses Marqeta for a virtual and physical debit card launched through Square Cash, and for a plastic business debit card it unveiled in January 2019.JPMorgan has a history of partnering with, and buying up fintech companies. It acquired Silicon Valley-based start-up WePay in December 2017. In this case, Marqeta chief revenue officer Omri Dahan said it would have taken years for the Wall Street giant to build a similar product in-house.""These big financial institutions are tied to the legacy systems that they've built on top of for years, it's hard for them to access modern technology,"" Dahan told CNBC. ""We are able to give them access to that, without a massive lift on their part.""Marqeta makes money in a similar way to incumbents Mastercard and Visa — by taking a percentage cut of every transaction from customers, and some software fees. The company would not comment on the financial details of the JPMorgan agreement.Marqeta recently raised $150 million from an undisclosed investor in May, doubling its valuation to $4.3 billion in just a few months. Other high-profile backers include Goldman Sachs, Visa Ventures, and PayPal alumni Max Levchin, according to PitchBook. The card company is reportedly seeking to hire investment bankers to advise on an IPO, Reuters reported earlier in July. A spokesperson for Marqeta declined to comment on plans to go public.",0
El Paso Electric's $4.3B sale to JPMorgan-tied fund completed; new CEO named - El Paso Times,https://www.elpasotimes.com/story/news/2020/07/29/el-paso-electric-sale-completed-to-jpmorgan-tied-fund/5532839002/,"Wed, 29 Jul 2020 07:00:00 GMT",[],"The deal is finally done.El Paso Electric is no longer a publicly traded electric utility.It’s now owned by the JPMorgan Chase-tied Infrastructure Investments Fund, or IIF, which on June 1, 2019, agreed to buy the 117-year-old electric utility for $4.3 billion, including assuming $1.5 billion of the utility’s debt.The sale was completed Wednesday afternoon.El Paso Electric and IIF also named a new chief executive officer: Kelly Tomblin, who most recently served as CEO and president of INTREN LLC, an electric and natural gas utility contractor based in Illinois. A new company board also has been named.She replaces Adrian Rodriguez, the company's general counsel, who's been interim CEO since Aug. 1, 2019, after Mary Kipp left to head Puget Sound Energy in the Seattle area.""EPE plays a critical role in the communities they serve and I look forward to making this community my own,"" Tomblin said in a statement.The sale will bring multimillion-dollar paydays for several members of the utility’s old board of directors, and for some of the company’s executives. They will receive payments for El Paso Electric stock shares and stock awards that IIF bought for $68.25 a share, or about $2.8 billion, as part of the sale.Primer: What does El Paso Electric sale mean for customers, community?New York-based IIF is a $12.5 billion investment fund that buys companies, mostly in the energy industry.It took just over a year for the proposed sale to get approved by Texas, New Mexico, and federal regulators, and by the El Paso City Council.El Paso Electric has more than 436,000 customers in the El Paso and Las Cruces areas. IIF agreed to keep the company's headquarters in El Paso for as long as it owns the utility, and to keep the company's about 1,100 employees in place for at least five years.Community leaders react to saleTed Houghton Jr., an El Paso businessman who was an early critic of the deal, is now a supporter.A lot of changes were made in the original, proposed deal that now make the sale good for El Paso, he said in an email.El Paso Mayor Dee Margo said the sale is good for El Paso and EPE customers.“It provides financial stability to El Paso Electric while providing numerous economic incentives for attracting more jobs and investments,” Margo said in a statement. “The success of IIF’s purchase will not be based on rate increases, but on performance and growth.""But not everyone is happy.Texas state Sen. José Rodríguez, D-El Paso, who was a critic of the sale because of JPMorgan’s ties to IIF, said in an email: ""It remains to be seen how this (sale) will work out. There are two facts: 1) Prior to this deal, EPE reported no financial concerns necessitating a sale. 2) The purchasers went to great lengths to deny an affiliate relationship with JP Morgan at the federal level, but admitted to as much at the state level. On its face, this should concern all of us.""Members of the Sunrise El Paso environmental group were the most outspoken opponents of the sale, mostly because of IIF's ties to JP Morgan.Tyson Slocum, program director for Public Citizen, a consumer watchdog organization in Washington, D.C., was the first to raise questions and concerns about JPMorgan’s ties to IIF in filings with the Federal Energy Regulatory Commission.""A community has expectations that new corporate owners of essential services like electric utilities will be honest and forthright. But IIF has done neither, with its continued denials that the Wall Street bank JPMorgan Chase controls El Paso Electric,"" Slocum said in an email.DON'T MISS A BEAT on El Paso Electric's changes. Click here to subscribe.Slocum plans to continue to push the Federal Energy Regulatory Commission to deem JPMorgan a legal affiliate of IIF, which would have consequences for the bank, he said.IIF is advised and managed by JPMorgan Investment Management's Infrastructure Investments Group. In that role, it helps manage companies that IIF owns and operates. Employees in the JPMorgan group sit on IIF company boards.New board headed by New Jersey utility group veteranEPE’s new, 10-member board’s chairman is Frank Cassidy, who worked almost 40 years for Public Service Enterprise Group, a large electric and natural gas utility operator in Newark, New Jersey. He retired in 2007 as president and chief operating officer of PSEG Power, the group’s power producer.Three El Paso businessmen are on the new board, including two members of the company’s old board: Rick Francis, CEO of WestStar Bank, a large El Paso bank; Raymond Palacios, owner of new car dealerships in El Paso and Las Cruces, and a member of EPE’s old board since 2017; and Ed Escudero, founder and CEO of High Desert Capital, a business lender in El Paso, and member of the old EPE board since 2013.Two employees of JPMorgan’s Infrastructure Investments Group are on the new board: Andrew ""Landy"" Gilbert, managing director of the group, who helped steer IIF’s acquisition of El Paso Electric through the yearlong regulatory review process; and Kathleen Lawler, an executive director in the group.The other board members: Kathy Alexander, a lawyer with extensive experience in handling utility regulatory matters; Mike Jesanis, a board member of NiSource Inc., an Indiana utility holding company; Peter Kind, who worked as an investment banker for more than 30 years and a board member of IIF-owned SouthWest Water Co.; and Tomblin, the new El Paso Electric CEO.Nuclear Regulatory Commission finds no ownership problemsAlso, the U.S. Nuclear Regulatory Commission staff has determined that the sale poses no problems with possible foreign company control of El Paso Electric's part ownership in the Palo Verde nuclear plant in Arizona. The NRC in a July 17 letter asked El Paso Electric and IIF to provide information about possible foreign ownership in IIF companies tied to the utility's acquisition.In a July 28 letter, the NRC staff told El Paso Electric that the transfer of the Palo Verde license to IIF meets federal law requirements. The NRC approved the license transfer in March, but then had last-minute ownership questions.Vic Kolenc may be reached at 546-6421; vkolenc@elpasotimes.com; @vickolenc on Twitter.",0
Media consumption in the age of COVID-19 - J.P. Morgan,https://www.jpmorgan.com/insights/global-research/technology/media-consumption,"Fri, 01 May 2020 07:00:00 GMT",[],"As a result of social distancing at home, consumers are spending more time online to virtually connect with others and stream entertainment. Alongside this shift in consumer behavior, industries are also adapting to the knock-on effects of the pandemic. Here, J.P. Morgan Research examines how at-home media consumption has changed since the outbreak.Non-stop newsOver the past few months information on the impact of coronavirus has unfolded at a dynamic rate, causing a sense of urgency to absorb as many headlines as possible – as often as possible. J.P. Morgan Research assumes the consumption of news coverage is at unprecedented levels across the internet and media sectors.For example, as users continue to look to social media for real-time information, Twitter recently announced that for Q1 2020, the average total of monetizable daily active users reached approximately 164 million, which is up 23 percent from last year. “The heightened news cycle tied to COVID-19 has significantly driven Twitter’s outsized number of daily active users beyond what we would typically expect for the first quarter,” says Doug Anmuth, Head of J.P. Morgan U.S. Internet Equity Research.Cable news channels have seen their ratings double over the past month, while The New York Times has also experienced record levels of engagement that is boosting subscriber levels beyond expectations, particularly with digital subscription revenue growth in the high teens. The uptick applies to television genres beyond the news and can be attributed to newly captivated at-home audiences. “Overall, we have seen a 10-20% growth in ratings for a majority of broadcast shows, which is atypical this time of year,” says Alexia Quadrani, Head of U.S. Media Equity Research. “Ratings usually drop once Daylight Savings Time arrives, since people prefer to spend time outdoors.”",-1
JP Morgan Chase admits to US market manipulation and agrees to pay $920m - The Guardian,https://www.theguardian.com/business/2020/sep/29/jpmorgan-chase-admits-spoofing-us-market-manipulation-pay-920m,"Tue, 29 Sep 2020 07:00:00 GMT",[],"JP Morgan Chase has agreed to pay more than $920m and admitted to wrongdoing to settle federal US market manipulation investigations into its trading of metals futures and Treasury securities, the US authorities said on Tuesday.The landmark multi-agency settlement lifts a regulatory shadow that has hung over the bank for several years and marks a signature victory for the government’s efforts to clamp down on illegal trading in the futures and precious metals market.JP Morgan will pay $436.4m in fines, $311.7m in restitution and more than $172m in disgorgement, the Commodity Futures Trading Commission (CFTC) said on Tuesday, the biggest-ever settlement imposed by the derivatives regulator.According to the settlement, between 2009 and 2016 JPMorgan Treasury’s traders placed orders on one side of the market which they never intended to execute, to create a false impression of buy or sell interest that would raise or depress prices. The manipulative practice designed to create the illusion of demand or a lack of demand is known as “spoofing”.“The conduct of the individuals referenced in today’s resolutions is unacceptable and they are no longer with the firm,” said Daniel Pinto, co-president of JP Morgan and chief executive of the Corporate & Investment Bank.",-1
"Having a Mentor, Being a Mentor: Terrell's Story - JPMorganChase",https://www.jpmorganchase.com/newsroom/stories/having-a-mentor-being-a-mentor-terrell,"Fri, 25 Sep 2020 07:00:00 GMT",[],"A Lifetime of ChallengesMy journey to JPMorgan Chase was not typical. Growing up in Mississippi prepared me for a lot of things, but the corporate world wasn't one of them.I had dealt with challenges before. My experiences had taught me that the knowledge you gain makes the journey worthwhile, but it isn't easy. While in college at Ole Miss, I had to work several jobs to keep myself enrolled. I had trouble keeping active semesters back-to-back, and ultimately chose to finish online, while working full-time.So, when I had the chance to become a contractor at the firm, I jumped on it, realizing that this opportunity could launch my career. But I didn't know how, until I attended the Black business resource group's (BOLD) career mobility panel and met my mentor, Peter.Finding a MentorWhile I understood the power of positive role models, I never could have guessed the profound impact a mentor could have. Peter took me under his wing and helped me see the various pathways to advancement at JPMorgan Chase.His perspective was invaluable—he had done this before. And, as a Black executive at the company, he showed me what it meant to be a leader. He was more than a role model; he gave me the intangible skills I needed to appropriately market myself and my skills.Sure enough, it worked: I earned my full-time position in March of 2015.Five years later, I'm a Business Management Associate for Corporate Client Banking and the former co-chairman of BOLD, where I led the professional development pillar.Passing It OnInspired by my relationship with Peter, I decided that I needed to pay it forward and joined The Fellowship Initiative (TFI), a JPMorgan Chase program that focuses on improving economic and social outcomes for Black and Latino men—as well as other young men of color—from low-income communities. Not that long ago I was struggling myself, so it seemed natural for me to try my hand on the other side of the equation.My mentee and I worked hard on goal-setting, prioritization and confidence. As a young man of color working toward my MBA at Southern Methodist University, I could relate to his struggles. I stressed the importance of education and highlighted the power of mentorship.Mentorship has changed my life. It helped me create the foundation for my career and it allowed me to learn and pass that knowledge on to the next generation.When I think back about standing up in front of the crowd that day in Lewisville, I never could have imagined how it would change the trajectory of my life. And now, only five years later, I'm able to positively impact the next generation of leaders for years to come.",0
A debut transaction in Georgia - J.P. Morgan,https://www.jpmorgan.com/insights/banking/investment-banking/georgia-green-bond,"Thu, 06 Aug 2020 07:00:00 GMT",[],"When Georgia Capital was looking to raise a corporate bond late last year for one of its portfolio companies, Georgia Global Utilities (GGU), its first and only call was to J.P. Morgan. The senior management of Georgia Capital, a holding company that invests in developing businesses across sectors in Georgia, has been a client for over a decade. J.P. Morgan has also maintained its market-leading position in Georgia, leading all 18 international bond transactions from the emerging economy since 2008Following a global “Zoom roadshow” targeting institutional investors across EMEA, the U.S. and Asia Pacific, the deal closed on July 30, with J.P. Morgan sole lead-managing GGU’s $250m 5NC2-year green bond offering, with a yield of 7.75%.“While it was a relatively small credit for the international capital markets, we have a strong relationship with Georgia Capital’s leadership team after years of executing a number of fixed income transactions, and we wanted to make this work for them,” says Ahmet Berkmen, Debt Capital Markets (DCM), Emerging Markets – EMEA. “Since their portfolio includes renewable energy and water utility companies, we believed that leaning into both the green and development finance angles would be the right strategy to broaden investor reach.”GGU is a water utility owned by Georgia Capital, and it is a regulated monopoly in the capital city of Tbilisi and the surrounding area. GGU provides water and wastewater services to 1.4 million residents—more than one-third of Georgia’s population—and also operates hydro power plants that provide a total capacity of 149 megawatts of renewable energy to its customers.To prepare GGU for its international capital markets debut, the DCM team advised Georgia Capital to combine its renewable energy and water utilities to help create a business of scale for international investors. Following the restructuring, J.P. Morgan helped GGU obtain its first-time credit ratings from Fitch and S&P. From there, the green bond qualification process took approximately one month, with J.P. Morgan working closely with Sustainalytics, which provides ESG research and ratings to investors.Though execution was underway, Stefan Weiler, DCM, Emerging Markets – EMEA, introduced J.P. Morgan’s new Development Finance Institution (DFI) to the transaction. “After hearing the DFI speak at our team’s offsite, we immediately understood the significant value it could bring and were excited to form a new partnership,” says Weiler.",1
