date,avg_sentiment
2020-01-07,1.0
2020-02-06,0.0
2020-02-09,0.0
2020-02-12,0.5
2020-02-18,0.5
2020-02-25,0.0
2020-04-28,0.0
2020-05-21,0.0
2020-07-21,0.0
2020-08-20,0.0
2020-08-25,0.0
2020-09-25,0.5
2020-09-30,0.0
2020-10-05,0.0
2020-10-14,0.0
2020-11-06,1.0
2021-01-03,1.0
2021-01-19,0.0
2021-02-10,1.0
2021-02-21,0.0
2021-03-10,0.0
2021-03-24,1.0
2021-03-26,0.0
2021-04-13,0.0
2021-04-29,0.0
2021-06-29,0.0
2021-06-30,1.0
2021-07-07,0.0
2021-07-20,0.0
2021-07-26,1.0
2021-08-10,1.0
2021-08-18,0.0
2021-09-30,0.0
2021-10-18,0.0
2021-10-21,0.0
2021-10-27,0.0
2021-11-23,0.0
2021-12-06,-1.0
2021-12-13,0.0
2021-12-21,0.0
2022-02-07,0.0
2022-02-22,0.0
2022-04-04,0.0
2022-05-18,0.5
2022-06-30,1.0
2022-07-12,1.0
2022-08-05,1.0
2022-08-16,0.0
2022-08-24,0.0
2022-11-09,1.0
2022-11-14,0.0
2022-11-29,1.0
2023-01-25,0.0
2023-01-27,0.0
2023-02-17,0.0
2023-03-01,1.0
2023-03-01,1.0
2023-03-13,0.0
2023-04-04,0.0
2023-04-19,1.0
2023-04-20,0.0
2023-05-10,0.0
2023-05-15,0.0
2023-05-24,0.0
2023-05-25,1.0
2023-05-29,0.0
2023-06-30,0.0
2023-08-22,0.0
2023-09-20,0.0
2023-10-06,0.0
2023-10-30,0.0
2023-11-06,0.0
2023-11-08,0.0
2023-11-14,0.0
