date,avg_sentiment
2020-01-03,1.0
2020-01-21,1.0
2020-01-22,-1.0
2020-02-10,0.0
2020-02-12,0.0
2020-02-18,1.0
2020-02-24,0.0
2020-02-25,0.0
2020-03-10,0.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-27,0.5
2020-03-30,1.0
2020-03-31,0.0
2020-04-09,1.0
2020-04-14,1.0
2020-04-16,0.0
2020-04-20,0.0
2020-04-27,0.0
2020-05-11,0.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-19,0.0
2020-05-30,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-23,1.0
2020-07-06,-0.5
2020-07-07,1.0
2020-07-30,1.0
2020-08-03,0.0
2020-08-04,1.0
2020-08-06,0.0
2020-08-18,0.0
2020-08-19,1.0
2020-08-20,1.0
2020-08-28,-1.0
2020-08-30,0.0
2020-09-14,1.0
2020-09-17,-1.0
2020-09-23,0.0
2020-09-28,1.0
2020-10-02,1.0
2020-10-05,0.0
2020-10-13,1.0
2020-10-27,-1.0
2020-10-29,1.0
2020-11-02,0.0
2020-11-14,1.0
2020-11-17,0.0
2020-11-20,0.5
2020-12-04,1.0
2020-12-06,0.0
2020-12-12,0.0
2020-12-17,0.0
2020-12-20,0.0
2020-12-23,0.0
2021-01-14,1.0
2021-01-21,0.0
2021-01-23,0.0
2021-01-26,1.0
2021-01-29,0.5
2021-02-02,0.0
2021-02-04,0.0
2021-02-24,0.0
2021-03-10,0.0
2021-03-16,0.0
2021-03-19,0.0
2021-03-25,0.0
2021-04-04,-1.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-16,0.0
2021-04-20,0.0
2021-04-23,1.0
2021-04-29,1.0
2021-05-12,0.0
2021-05-15,0.0
2021-05-21,0.0
2021-05-26,0.0
2021-05-27,1.0
2021-05-28,1.0
2021-06-01,-1.0
2021-06-01,-1.0
2021-06-09,0.0
2021-06-21,-1.0
2021-06-25,0.0
2021-07-05,1.0
2021-07-12,0.0
2021-07-14,-1.0
2021-07-20,0.0
2021-07-21,1.0
2021-07-22,-1.0
2021-08-07,1.0
2021-08-19,0.0
2021-08-20,0.0
2021-08-25,0.0
2021-09-13,0.0
2021-09-28,1.0
2021-10-09,0.0
2021-10-15,1.0
2021-10-19,0.5
2021-11-12,0.5
2021-12-01,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-13,1.0
2022-01-10,-1.0
2022-01-25,0.3333333333333333
2022-02-11,0.0
2022-02-22,0.0
2022-03-03,1.0
2022-03-14,-1.0
2022-03-15,-1.0
2022-03-16,0.0
2022-03-21,0.0
2022-03-25,0.0
2022-04-06,-1.0
2022-04-08,0.0
2022-04-19,-1.0
2022-04-20,0.0
2022-04-25,1.0
2022-04-29,-1.0
2022-05-02,1.0
2022-05-04,-1.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-19,0.0
2022-05-27,1.0
2022-06-06,0.0
2022-06-08,1.0
2022-06-11,0.0
2022-06-20,1.0
