date,avg_sentiment
2020-01-06,0.0
2020-01-07,0.0
2020-01-14,0.0
2020-01-16,0.0
2020-01-19,1.0
2020-01-20,0.0
2020-01-21,-1.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-02-03,0.0
2020-02-06,0.0
2020-02-11,0.0
2020-02-14,0.0
2020-02-19,0.0
2020-02-21,1.0
2020-02-24,-1.0
2020-02-27,0.0
2020-03-04,0.0
2020-03-10,-1.0
2020-03-11,0.0
2020-03-13,0.0
2020-03-15,-1.0
2020-03-17,1.0
2020-03-23,-1.0
2020-03-30,0.0
2020-04-06,0.0
2020-04-10,0.0
2020-04-13,-1.0
2020-04-19,0.0
2020-04-22,0.0
2020-04-29,0.0
2020-05-05,0.0
2020-05-06,1.0
2020-05-07,0.0
2020-05-15,1.0
2020-05-16,0.0
2020-05-18,1.0
2020-06-15,0.0
2020-06-22,0.0
2020-06-26,0.0
2020-06-27,-1.0
2020-07-10,-1.0
2020-07-12,1.0
2020-07-16,0.0
2020-07-18,-1.0
2020-07-19,0.0
2020-07-21,0.0
2020-07-23,-1.0
2020-07-28,0.0
2020-08-05,0.0
2020-08-24,0.0
2020-08-28,1.0
2020-08-29,0.0
2020-09-03,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-23,0.0
2020-10-06,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-20,0.0
2020-10-21,-1.0
2020-10-22,0.0
2020-10-28,0.0
2020-10-31,-1.0
2020-11-03,0.0
2020-11-05,0.0
2020-11-09,-1.0
2020-11-10,0.0
2020-11-17,0.0
2020-11-20,0.0
2020-11-24,0.0
2020-12-03,0.0
2020-12-06,1.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-18,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-26,0.0
2020-12-29,-1.0
2021-01-03,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-14,0.0
2021-01-17,0.0
2021-01-21,0.0
2021-01-28,0.0
2021-01-31,-0.3333333333333333
2021-02-01,-1.0
2021-02-01,-1.0
2021-02-04,-1.0
2021-02-07,-0.5
2021-02-17,-1.0
2021-02-24,0.0
2021-02-26,0.0
2021-03-01,-1.0
2021-03-03,0.0
2021-03-24,0.0
2021-04-05,-1.0
2021-04-06,-0.5
2021-04-07,0.0
2021-04-12,0.0
2021-04-14,0.0
2021-04-19,1.0
2021-04-23,0.0
2021-04-27,0.0
2021-04-30,1.0
2021-05-01,0.0
2021-05-03,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-14,1.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-20,0.0
2021-06-11,0.0
2021-06-21,0.0
2021-06-24,-1.0
2021-06-25,0.0
2021-06-29,0.0
2021-07-01,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-15,1.0
2021-07-18,1.0
2021-07-20,0.0
2021-07-23,0.0
2021-08-01,1.0
2021-08-05,1.0
2021-08-09,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-27,0.0
2021-08-29,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-10,-1.0
2021-09-13,0.0
2021-09-14,-1.0
2021-09-15,-1.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,1.0
2021-09-26,0.0
2021-10-01,0.0
2021-10-07,1.0
2021-10-12,-0.5
2021-10-13,0.0
2021-10-23,0.0
2021-10-26,0.0
2021-10-27,0.5
2021-11-04,0.0
2021-11-05,0.0
2021-11-15,0.0
2021-11-17,0.0
2021-12-08,0.0
2021-12-10,0.0
2021-12-17,0.5
2021-12-29,0.0
2021-12-31,-1.0
2022-01-03,-0.5
2022-01-13,0.0
2022-01-17,0.0
2022-01-22,0.0
2022-01-24,-0.5
2022-01-25,0.0
2022-02-01,0.0
2022-02-10,0.0
2022-02-14,-0.5
2022-02-16,0.0
2022-02-18,-1.0
2022-02-24,1.0
2022-02-25,0.0
2022-03-01,0.0
2022-03-14,0.0
2022-04-04,0.0
2022-04-27,0.0
2022-08-23,1.0
2022-08-29,0.0
2022-10-09,0.0
2022-11-21,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-19,1.0
2023-02-05,0.0
2023-02-23,0.0
2023-03-22,0.0
2023-05-08,-1.0
2023-05-22,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,-1.0
2023-06-11,0.0
2023-06-23,0.0
2023-07-14,0.0
2023-07-27,0.3333333333333333
2023-08-13,0.0
2023-09-09,0.0
2023-09-25,-1.0
2023-10-16,0.0
2023-10-24,0.0
2023-11-29,0.0
2023-12-12,0.5
2023-12-14,0.0
2023-12-18,1.0
2023-12-20,0.25
