date,avg_sentiment
2020-01-10,1.0
2020-01-15,0.0
2020-01-18,1.0
2020-01-31,0.0
2020-02-20,0.0
2020-02-27,-0.3333333333333333
2020-03-12,0.0
2020-03-16,0.0
2020-03-31,-1.0
2020-04-05,0.0
2020-04-09,0.0
2020-04-11,0.0
2020-04-21,1.0
2020-04-23,0.5
2020-05-13,-1.0
2020-05-14,-0.5
2020-05-18,0.0
2020-05-19,0.0
2020-05-27,-0.5
2020-05-28,0.0
2020-06-03,0.0
2020-06-05,0.0
2020-06-08,1.0
2020-06-09,0.0
2020-06-11,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-24,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-14,0.0
2020-07-22,0.0
2020-08-03,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-13,0.0
2020-08-19,0.0
2020-08-20,1.0
2020-08-23,0.0
2020-08-27,0.0
2020-09-04,0.0
2020-09-09,0.0
2020-10-06,-1.0
2020-10-08,0.0
2020-10-12,1.0
2020-10-15,0.0
2020-10-21,0.0
2020-10-22,1.0
2020-10-26,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-11-05,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-21,0.0
2020-11-24,0.0
2020-12-08,-1.0
2020-12-10,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-21,0.0
2020-12-26,0.0
2021-01-07,0.0
2021-01-12,0.0
2021-01-28,0.0
2021-02-09,0.0
2021-02-11,0.0
2021-02-15,0.0
2021-03-01,0.0
2021-03-10,1.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-21,1.0
2021-03-23,0.0
2021-03-25,-0.5
2021-03-26,0.0
2021-03-30,0.0
2021-04-08,0.0
2021-04-15,0.0
2021-04-19,1.0
2021-04-20,1.0
2021-04-25,0.0
2021-04-28,-1.0
2021-05-06,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-17,1.0
2021-05-28,0.0
2021-06-01,0.0
2021-06-01,0.0
2021-06-08,0.0
2021-06-14,0.0
2021-06-17,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-28,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-22,0.5
2021-07-23,0.0
2021-07-29,0.0
2021-08-10,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-16,0.0
2021-08-24,1.0
2021-08-25,1.0
2021-09-02,0.0
2021-09-08,1.0
2021-09-09,-1.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-28,0.5
2021-10-09,1.0
2021-10-12,0.0
2021-10-14,0.0
2021-10-28,0.0
2021-11-01,0.0
2021-11-01,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-09,-0.5
2021-11-12,0.0
2021-11-17,1.0
2021-11-29,1.0
2021-12-02,1.0
2021-12-07,0.0
2021-12-15,0.0
2021-12-16,0.5
2021-12-20,1.0
2022-01-01,0.0
2022-01-01,0.0
2022-01-03,1.0
2022-01-14,0.0
2022-01-18,0.0
2022-01-19,1.0
2022-01-29,0.0
2022-02-07,1.0
2022-02-10,0.0
2022-02-14,0.0
2022-02-19,0.0
2022-02-24,0.0
2022-03-07,1.0
2022-03-08,0.0
2022-03-10,0.0
2022-03-14,0.0
2022-03-17,0.0
2022-03-30,1.0
2022-04-04,0.0
2022-04-14,-1.0
2022-04-17,1.0
2022-04-19,0.0
2022-04-26,0.0
2022-04-28,0.5
2022-05-05,1.0
2022-05-09,-0.5
2022-05-12,0.0
2022-05-23,0.0
2022-05-26,-0.5
2022-05-27,0.0
2022-06-01,0.5
2022-06-01,1.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-13,0.0
2022-06-16,0.0
2022-07-06,0.0
2022-07-12,0.0
2022-07-15,1.0
2022-07-19,0.0
2022-07-27,-1.0
2022-07-28,0.0
2022-08-05,-1.0
2022-08-11,0.0
2022-08-15,0.0
2022-08-18,0.0
2022-08-24,0.0
2022-08-26,-1.0
2022-09-02,1.0
2022-09-08,1.0
2022-09-09,0.0
2022-09-15,0.0
2022-09-20,1.0
2022-09-27,1.0
2022-09-30,0.0
2022-10-03,-0.5
2022-10-06,-1.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-22,1.0
2022-10-26,0.0
2022-11-03,0.5
2022-11-14,0.0
2022-11-15,1.0
2022-11-22,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-05,0.0
2022-12-06,-0.5
2022-12-13,1.0
2022-12-16,1.0
2022-12-18,0.0
2022-12-28,1.0
2023-01-10,1.0
2023-01-12,0.0
2023-01-16,1.0
2023-01-20,-1.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,-1.0
2023-01-30,-1.0
2023-02-09,0.0
2023-02-15,0.0
2023-02-16,1.0
2023-02-23,0.0
2023-03-14,0.0
2023-03-21,0.3333333333333333
2023-03-27,1.0
2023-03-28,0.0
2023-03-29,0.6666666666666666
2023-03-30,0.0
2023-04-06,0.0
2023-04-11,0.0
2023-04-13,0.0
2023-04-16,0.0
2023-04-24,0.5
2023-04-25,0.0
2023-04-26,0.5
2023-04-27,1.0
2023-05-08,0.0
2023-05-11,1.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-26,1.0
2023-05-28,0.0
2023-05-30,1.0
2023-06-05,1.0
2023-06-06,0.0
2023-06-08,0.0
2023-06-12,0.0
2023-06-14,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-26,0.0
2023-06-27,1.0
2023-07-06,0.0
2023-07-08,1.0
2023-07-10,0.0
2023-07-19,0.0
2023-07-27,0.0
2023-07-30,1.0
2023-07-31,0.0
2023-08-01,0.0
2023-08-01,0.0
2023-08-07,0.0
2023-08-14,1.0
2023-08-15,1.0
2023-08-16,0.5
2023-08-17,0.0
2023-08-18,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-09-04,0.0
2023-09-06,0.0
2023-09-12,0.0
2023-09-17,1.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,1.0
2023-09-27,1.0
2023-09-28,0.5
2023-10-06,-1.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,1.0
2023-10-23,0.0
2023-10-24,0.5
2023-10-25,0.0
2023-10-27,1.0
2023-10-30,0.0
2023-11-07,1.0
2023-11-09,1.0
2023-11-10,1.0
2023-11-13,1.0
2023-11-15,1.0
2023-11-23,1.0
2023-11-27,1.0
2023-11-28,0.5
2023-11-29,1.0
2023-12-04,0.0
2023-12-06,0.0
2023-12-11,1.0
2023-12-14,0.0
2023-12-16,1.0
2023-12-21,0.0
