date,avg_sentiment
2020-01-08,0.0
2020-01-14,-1.0
2020-01-24,0.0
2020-01-28,1.0
2020-01-29,0.0
2020-02-07,0.0
2020-02-10,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-22,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-04-09,0.0
2020-04-24,0.0
2020-05-04,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-06-01,1.0
2020-06-01,1.0
2020-06-15,0.0
2020-06-19,0.0
2020-06-22,1.0
2020-06-26,0.0
2020-07-09,0.0
2020-07-15,-1.0
2020-07-16,0.0
2020-07-22,0.0
2020-08-05,0.0
2020-08-07,1.0
2020-08-25,0.0
2020-08-28,0.0
2020-08-31,0.0
2020-09-02,-1.0
2020-09-23,-0.75
2020-09-24,-0.6666666666666666
2020-09-25,-1.0
2020-09-28,-1.0
2020-10-05,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-14,0.0
2020-10-30,0.0
2020-11-04,-1.0
2020-11-09,0.0
2020-11-16,1.0
2020-11-30,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-23,0.0
2020-12-31,0.0
2021-01-04,0.0
2021-01-13,0.0
2021-01-15,0.0
2021-01-25,1.0
2021-02-01,0.0
2021-02-04,1.0
2021-02-10,0.16666666666666666
2021-02-26,0.0
2021-03-02,1.0
2021-03-04,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-18,1.0
2021-03-25,0.0
2021-04-01,1.0
2021-04-01,1.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-08,0.0
2021-04-20,0.0
2021-04-22,0.0
2021-04-27,1.0
2021-05-10,1.0
2021-05-28,1.0
2021-06-03,1.0
2021-06-04,0.0
2021-06-07,0.0
2021-06-16,0.0
2021-06-24,0.0
2021-07-13,0.0
2021-07-19,-1.0
2021-07-25,1.0
2021-07-29,0.0
2021-08-02,0.0
2021-08-09,1.0
2021-08-11,0.0
2021-08-18,0.0
2021-08-19,0.0
2021-08-24,0.0
2021-09-10,1.0
2021-09-13,0.5
2021-09-14,1.0
2021-09-16,0.0
2021-09-21,0.0
2021-09-27,0.0
2021-10-01,0.0
2021-10-01,0.0
2021-10-08,0.0
2021-10-12,0.0
2021-10-13,-1.0
2021-10-15,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-11-01,-1.0
2021-11-01,-1.0
2021-11-03,0.0
2021-11-11,-1.0
2021-11-15,0.0
2021-11-26,0.0
2021-11-29,0.0
2021-12-09,-0.5
2021-12-16,0.0
2021-12-17,1.0
2021-12-21,0.0
2022-01-07,1.0
2022-01-24,0.0
2022-01-25,-1.0
2022-01-26,0.0
2022-01-27,-1.0
2022-01-28,-0.5
2022-02-01,0.0
2022-02-01,0.0
2022-02-02,0.5
2022-02-08,1.0
2022-02-10,-0.5
2022-03-01,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-11,0.0
2022-03-14,1.0
2022-03-18,0.0
2022-04-01,0.0
2022-04-01,0.0
2022-04-10,0.0
2022-04-18,0.0
2022-04-20,0.0
2022-04-25,1.0
2022-04-29,0.0
2022-05-05,-1.0
2022-05-06,1.0
2022-05-10,0.0
2022-05-17,0.0
2022-05-20,-1.0
2022-05-24,-1.0
2022-05-30,0.0
2022-06-06,0.0
2022-06-07,-1.0
2022-06-17,0.0
2022-06-21,1.0
2022-06-29,0.0
2022-07-05,0.0
2022-07-08,0.0
2022-07-15,0.0
2022-07-17,0.0
2022-07-18,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-08-12,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-30,0.0
2022-09-12,0.0
2022-09-15,0.0
2022-09-16,1.0
2022-09-19,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-29,0.0
2022-10-01,0.0
2022-10-01,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-12,0.0
2022-10-18,0.0
2022-10-28,0.0
2022-11-01,0.0
2022-11-14,-0.3333333333333333
2022-11-17,1.0
2022-11-19,0.0
2022-12-01,0.0
2022-12-14,0.5
2022-12-16,0.0
2022-12-17,0.0
2022-12-21,0.0
2023-01-03,0.0
2023-01-04,-1.0
2023-01-05,0.0
2023-01-13,0.0
2023-01-18,1.0
2023-01-30,-0.5
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-14,0.0
2023-02-16,0.0
2023-03-01,1.0
2023-03-01,0.3333333333333333
2023-03-02,0.0
2023-03-13,0.0
2023-03-16,-1.0
2023-03-21,0.0
2023-03-29,-1.0
2023-04-03,0.0
2023-04-05,1.0
2023-04-06,-1.0
2023-04-11,0.0
2023-04-14,0.0
2023-04-16,1.0
2023-04-26,0.0
2023-04-27,0.0
2023-05-05,-1.0
2023-05-17,-1.0
2023-05-18,0.0
2023-05-23,-0.6666666666666666
2023-05-24,-1.0
2023-06-07,0.0
2023-06-08,1.0
2023-06-16,1.0
2023-06-21,0.0
2023-06-24,0.0
2023-06-26,-1.0
2023-06-29,0.0
2023-07-05,0.0
2023-07-16,0.0
2023-07-19,-1.0
2023-07-20,0.0
2023-07-24,0.0
2023-07-25,1.0
2023-07-26,1.0
2023-08-07,0.5
2023-08-08,0.0
2023-08-09,0.0
2023-08-23,0.0
2023-09-01,-1.0
2023-09-01,-1.0
2023-09-04,-1.0
2023-09-07,1.0
2023-09-10,-1.0
2023-09-18,0.0
2023-09-21,0.0
2023-10-05,0.0
2023-10-11,0.0
2023-10-16,1.0
2023-10-30,1.0
2023-11-01,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-07,-0.5
2023-11-20,0.0
2023-11-30,-1.0
2023-12-01,0.0
2023-12-01,0.0
2023-12-14,-1.0
2023-12-19,-0.3333333333333333
2023-12-20,0.0
2023-12-21,0.0
2023-12-26,-1.0
